Position,Driver,Nationality,Constructor,Points
1,Lewis Hamilton,GBR,MCLAREN MERCEDES,98
2,Felipe Massa,BRA,FERRARI,97
3,Kimi Räikkönen,FIN,FERRARI,75
4,Robert Kubica,POL,SAUBER BMW,75
5,Fernando Alonso,ESP,RENAULT,61
6,Nick Heidfeld,GER,SAUBER BMW,60
7,Heikki Kovalainen,FIN,MCLAREN MERCEDES,53
8,Sebastian Vettel,GER,STR FERRARI,35
9,Jarno Trulli,ITA,TOYOTA,31
10,Timo Glock,GER,TOYOTA,25
11,Mark Webber,AUS,RED BULL RENAULT,21
12,Nelson Piquet,BRA,RENAULT,19
13,Nico Rosberg,GER,WILLIAMS TOYOTA,17
14,Rubens Barrichello,BRA,HONDA,11
15,Kazuki Nakajima,JPN,WILLIAMS TOYOTA,9
16,David Coulthard,GBR,RED BULL RENAULT,8
17,Sebastien Bourdais,FRA,STR FERRARI,4
18,Jenson Button,GBR,HONDA,3
19,Giancarlo Fisichella,ITA,FORCE INDIA FERRARI,0
20,Adrian Sutil,GER,FORCE INDIA FERRARI,0
21,Takuma Sato,JPN,SUPER AGURI HONDA,0
22,Anthony Davidson,GBR,SUPER AGURI HONDA,0
