Position,Driver,Nationality,Constructor,Points
1,Nelson Piquet,BRA,BRABHAM FORD,50
2,Carlos Reutemann,ARG,WILLIAMS FORD,49
3,Alan Jones,AUS,WILLIAMS FORD,46
4,Jacques Laffite,FRA,LIGIER MATRA,44
5,Alain Prost,FRA,RENAULT,43
6,John Watson,GBR,MCLAREN FORD,27
7,Gilles Villeneuve,CAN,FERRARI,25
8,Elio de Angelis,ITA,LOTUS FORD,14
9,Rene Arnoux,FRA,RENAULT,11
9,Hector Rebaque,MEX,BRABHAM FORD,11
11,Riccardo Patrese,ITA,ARROWS FORD,10
11,Eddie Cheever,USA,TYRRELL FORD,10
13,Didier Pironi,FRA,FERRARI,9
14,Nigel Mansell,GBR,LOTUS FORD,8
15,Bruno Giacomelli,ITA,ALFA ROMEO,7
16,Marc Surer,SUI,THEODORE FORD,4
17,Mario Andretti,USA,ALFA ROMEO,3
18,Patrick Tambay,FRA,LIGIER MATRA,1
18,Andrea de Cesaris,ITA,MCLAREN FORD,1
18,Slim Borgudd,SWE,ATS FORD,1
18,Eliseo Salazar,CHI,ENSIGN FORD,1
