Position,Driver,Nationality,Constructor,Points
1,Mike Hawthorn,GBR,FERRARI,42
2,Stirling Moss,GBR,VANWALL,41
3,Tony Brooks,GBR,VANWALL,24
4,Roy Salvadori,GBR,COOPER CLIMAX,15
5,Peter Collins,GBR,FERRARI,14
5,Harry Schell,USA,BRM,14
7,Maurice Trintignant,FRA,COOPER CLIMAX,12
7,Luigi Musso,ITA,FERRARI,12
9,Stuart Lewis-Evans,GBR,VANWALL,11
10,Phil Hill,USA,FERRARI,9
10,Jean Behra,FRA,BRM,9
10,Wolfgang von Trips,GER,FERRARI,9
13,Jimmy Bryan,USA,EPPERLY OFFENHAUSER,8
14,Juan Manuel Fangio,ARG,MASERATI,7
15,George Amick,USA,EPPERLY OFFENHAUSER,6
16,Tony Bettenhausen,USA,EPPERLY OFFENHAUSER,4
16,Johnny Boyd,USA,KURTIS KRAFT OFFENHAUSER,4
18,Jack Brabham,AUS,COOPER CLIMAX,3
18,Cliff Allison,GBR,LOTUS CLIMAX,3
18,Jo Bonnier,SWE,BRM,3
21,Jim Rathmann,USA,EPPERLY OFFENHAUSER,2
