Position,Driver,Nationality,Constructor,Points
1,Lewis Hamilton,GBR,MERCEDES,363
2,Sebastian Vettel,GER,FERRARI,317
3,Valtteri Bottas,FIN,MERCEDES,305
4,Kimi Räikkönen,FIN,FERRARI,205
5,Daniel Ricciardo,AUS,RED BULL RACING TAG HEUER,200
6,Max Verstappen,NED,RED BULL RACING TAG HEUER,168
7,Sergio Perez,MEX,FORCE INDIA MERCEDES,100
8,Esteban Ocon,FRA,FORCE INDIA MERCEDES,87
9,Carlos Sainz,ESP,RENAULT,54
10,Nico Hulkenberg,GER,RENAULT,43
11,Felipe Massa,BRA,WILLIAMS MERCEDES,43
12,Lance Stroll,CAN,WILLIAMS MERCEDES,40
13,Romain Grosjean,FRA,HAAS FERRARI,28
14,Kevin Magnussen,DEN,HAAS FERRARI,19
15,Fernando Alonso,ESP,MCLAREN HONDA,17
16,Stoffel Vandoorne,BEL,MCLAREN HONDA,13
17,Jolyon Palmer,GBR,RENAULT,8
18,Pascal Wehrlein,GER,SAUBER FERRARI,5
19,Daniil Kvyat,RUS,TORO ROSSO,5
20,Marcus Ericsson,SWE,SAUBER FERRARI,0
21,Pierre Gasly,FRA,TORO ROSSO,0
22,Antonio Giovinazzi,ITA,SAUBER FERRARI,0
23,Brendon Hartley,NZL,TORO ROSSO,0
