Position,Driver,Nationality,Constructor,Points
1,Juan Manuel Fangio,ARG,MERCEDES-BENZ,42
2,Jose Froilan Gonzalez,ARG,FERRARI,25.1
3,Mike Hawthorn,GBR,FERRARI,24.6
4,Maurice Trintignant,FRA,FERRARI,17
5,Karl Kling,GER,MERCEDES-BENZ,12
6,Bill Vukovich,USA,KURTIS KRAFT OFFENHAUSER,8
6,Hans Herrmann,GER,MERCEDES-BENZ,8
8,Nino Farina,ITA,FERRARI,6
8,Jimmy Bryan,USA,KUZMA OFFENHAUSER,6
8,Luigi Musso,ITA,MASERATI,6
8,Roberto Mieres,ARG,MASERATI,6
12,Jack McGrath,USA,KURTIS KRAFT OFFENHAUSER,5
13,Stirling Moss,GBR,MASERATI,4.1
13,Onofre Marimon,ARG,MASERATI,4.1
15,Robert Manzon,FRA,FERRARI,4
15,Sergio Mantovani,ITA,MASERATI,4
17,Prince Bira,THA,MASERATI,3
18,Elie Bayol,FRA,GORDINI,2
18,Mike Nazaruk,USA,KURTIS KRAFT OFFENHAUSER,2
18,Andre Pilette,BEL,GORDINI,2
18,Luigi Villoresi,ITA,LANCIA,2
18,Umberto Maglioli,ITA,FERRARI,2
23,Troy Ruttman,USA,KURTIS KRAFT OFFENHAUSER,1.5
23,Duane Carter,USA,KURTIS KRAFT OFFENHAUSER,1.5
25,Alberto Ascari,ITA,LANCIA,1.1
26,Jean Behra,FRA,GORDINI,0.1
