Position,Driver,Nationality,Constructor,Points
1,Juan Manuel Fangio,ARG,MERCEDES-BENZ,40
2,Stirling Moss,GBR,MERCEDES-BENZ,23
3,Eugenio Castellotti,ITA,FERRARI,12
4,Maurice Trintignant,FRA,FERRARI,11.3
5,Nino Farina,ITA,FERRARI,10.3
6,Piero Taruffi,ITA,MERCEDES-BENZ,9
7,Bob Sweikert,USA,KURTIS KRAFT OFFENHAUSER,8
8,Roberto Mieres,ARG,MASERATI,7
9,Luigi Musso,ITA,MASERATI,6
9,Jean Behra,FRA,MASERATI,6
11,Karl Kling,GER,MERCEDES-BENZ,5
12,Jimmy Davies,USA,KURTIS KRAFT OFFENHAUSER,4
13,Paul Russo,USA,KURTIS KRAFT OFFENHAUSER,3
13,Tony Bettenhausen,USA,KURTIS KRAFT OFFENHAUSER,3
13,Johnny Thomson,USA,KUZMA OFFENHAUSER,3
13,Paul Frere,BEL,FERRARI,3
17,Jose Froilan Gonzalez,ARG,FERRARI,2
17,Cesare Perdisa,ITA,MASERATI,2
17,Luigi Villoresi,ITA,LANCIA,2
17,Carlos Menditeguy,ARG,MASERATI,2
21,Umberto Maglioli,ITA,FERRARI,1.3
22,Hans Herrmann,GER,MERCEDES-BENZ,1
22,Walt Faulkner,USA,KURTIS KRAFT OFFENHAUSER,1
22,Bill Homeier,USA,KURTIS KRAFT OFFENHAUSER,1
22,Bill Vukovich,USA,KURTIS KRAFT OFFENHAUSER,1
