Position,Driver,Nationality,Constructor,Points
1,Mika Hakkinen,FIN,MCLAREN MERCEDES,76
2,Eddie Irvine,GBR,FERRARI,74
3,Heinz-Harald Frentzen,GER,JORDAN MUGEN HONDA,54
4,David Coulthard,GBR,MCLAREN MERCEDES,48
5,Michael Schumacher,GER,FERRARI,44
6,Ralf Schumacher,GER,WILLIAMS SUPERTEC,35
7,Rubens Barrichello,BRA,STEWART FORD,21
8,Johnny Herbert,GBR,STEWART FORD,15
9,Giancarlo Fisichella,ITA,BENETTON PLAYLIFE,13
10,Mika Salo,FIN,FERRARI,10
11,Jarno Trulli,ITA,PROST PEUGEOT,7
12,Damon Hill,GBR,JORDAN MUGEN HONDA,7
13,Alexander Wurz,AUT,BENETTON PLAYLIFE,3
14,Pedro Diniz,BRA,SAUBER PETRONAS,3
15,Olivier Panis,FRA,PROST PEUGEOT,2
16,Jean Alesi,FRA,SAUBER PETRONAS,2
17,Pedro de la Rosa,ESP,ARROWS,1
18,Marc Gene,ESP,MINARDI FORD,1
