Position,Driver,Nationality,Constructor,Points
1,Alberto Ascari,ITA,FERRARI,36
2,Nino Farina,ITA,FERRARI,24
3,Piero Taruffi,ITA,FERRARI,22
4,Rudi Fischer,SUI,FERRARI,10
4,Mike Hawthorn,GBR,COOPER BRISTOL,10
6,Robert Manzon,FRA,GORDINI,9
7,Troy Ruttman,USA,KUZMA OFFENHAUSER,8
7,Luigi Villoresi,ITA,FERRARI,8
9,Jose Froilan Gonzalez,ARG,MASERATI,6.5
10,Jim Rathmann,USA,KURTIS KRAFT OFFENHAUSER,6
10,Jean Behra,FRA,GORDINI,6
12,Sam Hanks,USA,KURTIS KRAFT OFFENHAUSER,4
13,Ken Wharton,GBR,NULL,3
13,Duane Carter,USA,LESOVSKY OFFENHAUSER,3
13,Dennis Poore,GBR,CONNAUGHT LEA FRANCIS,3
16,Alan Brown,GBR,COOPER BRISTOL,2
16,Art Cross,USA,KURTIS KRAFT OFFENHAUSER,2
16,Paul Frere,BEL,SIMCA-GORDINI,2
16,Maurice Trintignant,FRA,GORDINI,2
16,Eric Thompson,GBR,CONNAUGHT LEA FRANCIS,2
16,Felice Bonetto,ITA,MASERATI,2
22,Bill Vukovich,USA,KURTIS KRAFT OFFENHAUSER,1
