Position,Driver,Nationality,Constructor,Points
1,Jenson Button,GBR,BRAWN MERCEDES,95
2,Sebastian Vettel,GER,RBR RENAULT,84
3,Rubens Barrichello,BRA,BRAWN MERCEDES,77
4,Mark Webber,AUS,RBR RENAULT,69.5
5,Lewis Hamilton,GBR,MCLAREN MERCEDES,49
6,Kimi Räikkönen,FIN,FERRARI,48
7,Nico Rosberg,GER,WILLIAMS TOYOTA,34.5
8,Jarno Trulli,ITA,TOYOTA,32.5
9,Fernando Alonso,ESP,RENAULT,26
10,Timo Glock,GER,TOYOTA,24
11,Felipe Massa,BRA,FERRARI,22
12,Heikki Kovalainen,FIN,MCLAREN MERCEDES,22
13,Nick Heidfeld,GER,SAUBER BMW,19
14,Robert Kubica,POL,SAUBER BMW,17
15,Giancarlo Fisichella,ITA,FERRARI,8
16,Sebastien Buemi,SUI,STR FERRARI,6
17,Adrian Sutil,GER,FORCE INDIA MERCEDES,5
18,Kamui Kobayashi,JPN,TOYOTA,3
19,Sebastien Bourdais,FRA,STR FERRARI,2
20,Kazuki Nakajima,JPN,WILLIAMS TOYOTA,0
21,Nelson Piquet,BRA,RENAULT,0
22,Vitantonio Liuzzi,ITA,FORCE INDIA MERCEDES,0
23,Romain Grosjean,FRA,RENAULT,0
24,Jaime Alguersuari,ESP,STR FERRARI,0
25,Luca Badoer,ITA,FERRARI,0
