Position,Driver,Nationality,Constructor,Points
1,Kimi Räikkönen,FIN,FERRARI,110
2,Lewis Hamilton,GBR,MCLAREN MERCEDES,109
3,Fernando Alonso,ESP,MCLAREN MERCEDES,109
4,Felipe Massa,BRA,FERRARI,94
5,Nick Heidfeld,GER,SAUBER BMW,61
6,Robert Kubica,POL,SAUBER BMW,39
7,Heikki Kovalainen,FIN,RENAULT,30
8,Giancarlo Fisichella,ITA,RENAULT,21
9,Nico Rosberg,GER,WILLIAMS TOYOTA,20
10,David Coulthard,GBR,RED BULL RENAULT,14
11,Alexander Wurz,AUT,WILLIAMS TOYOTA,13
12,Mark Webber,AUS,RED BULL RENAULT,10
13,Jarno Trulli,ITA,TOYOTA,8
14,Sebastian Vettel,GER,STR FERRARI,6
15,Jenson Button,GBR,HONDA,6
16,Ralf Schumacher,GER,TOYOTA,5
17,Takuma Sato,JPN,SUPER AGURI HONDA,4
18,Vitantonio Liuzzi,ITA,STR FERRARI,3
19,Adrian Sutil,GER,SPYKER FERRARI,1
20,Rubens Barrichello,BRA,HONDA,0
21,Scott Speed,USA,STR FERRARI,0
22,Kazuki Nakajima,JPN,WILLIAMS TOYOTA,0
23,Anthony Davidson,GBR,SUPER AGURI HONDA,0
24,Sakon Yamamoto,JPN,SPYKER FERRARI,0
25,Christijan Albers,NED,SPYKER FERRARI,0
