Position,Driver,Nationality,Constructor,Points
1,Michael Schumacher,GER,BENETTON RENAULT,102
2,Damon Hill,GBR,WILLIAMS RENAULT,69
3,David Coulthard,GBR,WILLIAMS RENAULT,49
4,Johnny Herbert,GBR,BENETTON RENAULT,45
5,Jean Alesi,FRA,FERRARI,42
6,Gerhard Berger,AUT,FERRARI,31
7,Mika Hakkinen,FIN,MCLAREN MERCEDES,17
8,Olivier Panis,FRA,LIGIER MUGEN HONDA,16
9,Heinz-Harald Frentzen,GER,SAUBER FORD,15
10,Mark Blundell,GBR,MCLAREN MERCEDES,13
11,Rubens Barrichello,BRA,JORDAN PEUGEOT,11
12,Eddie Irvine,GBR,JORDAN PEUGEOT,10
13,Martin Brundle,GBR,LIGIER MUGEN HONDA,7
14,Gianni Morbidelli,ITA,FOOTWORK HART,5
15,Mika Salo,FIN,TYRRELL YAMAHA,5
16,Jean-Christophe Boullion,FRA,SAUBER FORD,3
17,Aguri Suzuki,JPN,LIGIER MUGEN HONDA,1
18,Pedro Lamy,POR,MINARDI FORD,1
