Position,Driver,Nationality,Constructor,Points
1,Alain Prost,FRA,WILLIAMS RENAULT,99
2,Ayrton Senna,BRA,MCLAREN FORD,73
3,Damon Hill,GBR,WILLIAMS RENAULT,69
4,Michael Schumacher,GER,BENETTON FORD,52
5,Riccardo Patrese,ITA,BENETTON FORD,20
6,Jean Alesi,FRA,FERRARI,16
7,Martin Brundle,GBR,LIGIER RENAULT,13
8,Gerhard Berger,AUT,FERRARI,12
9,Johnny Herbert,GBR,LOTUS FORD,11
10,Mark Blundell,GBR,LIGIER RENAULT,10
11,Michael Andretti,USA,MCLAREN FORD,7
12,Karl Wendlinger,AUT,SAUBER,7
13,Christian Fittipaldi,BRA,MINARDI FORD,5
13,Jyrki Jarvilehto,FIN,SAUBER,5
15,Mika Hakkinen,FIN,MCLAREN FORD,4
16,Derek Warwick,GBR,FOOTWORK MUGEN HONDA,4
17,Philippe Alliot,FRA,LARROUSSE LAMBORGHINI,2
17,Rubens Barrichello,BRA,JORDAN HART,2
19,Fabrizio Barbazza,ITA,MINARDI FORD,2
20,Alessandro Zanardi,ITA,LOTUS FORD,1
20,Erik Comas,FRA,LARROUSSE LAMBORGHINI,1
20,Eddie Irvine,GBR,JORDAN HART,1
