Position,Driver,Nationality,Constructor,Points
1,Nelson Piquet,BRA,BRABHAM BMW,59
2,Alain Prost,FRA,RENAULT,57
3,Rene Arnoux,FRA,FERRARI,49
4,Patrick Tambay,FRA,FERRARI,40
5,Keke Rosberg,FIN,WILLIAMS HONDA,27
6,John Watson,GBR,MCLAREN FORD,22
7,Eddie Cheever,USA,RENAULT,22
8,Andrea de Cesaris,ITA,ALFA ROMEO,15
9,Riccardo Patrese,ITA,BRABHAM BMW,13
10,Niki Lauda,AUT,MCLAREN TAG,12
11,Jacques Laffite,FRA,WILLIAMS HONDA,11
12,Michele Alboreto,ITA,TYRRELL FORD,10
13,Nigel Mansell,GBR,LOTUS RENAULT,10
14,Derek Warwick,GBR,TOLEMAN HART,9
15,Marc Surer,SUI,ARROWS FORD,4
16,Mauro Baldi,ITA,ALFA ROMEO,3
17,Elio de Angelis,ITA,LOTUS RENAULT,2
18,Danny Sullivan,USA,TYRRELL FORD,2
19,Bruno Giacomelli,ITA,TOLEMAN HART,1
20,Johnny Cecotto,VEN,THEODORE FORD,1
