Position,Driver,Nationality,Constructor,Points
1,Ayrton Senna,BRA,MCLAREN HONDA,96
2,Nigel Mansell,GBR,WILLIAMS RENAULT,72
3,Riccardo Patrese,ITA,WILLIAMS RENAULT,53
4,Gerhard Berger,AUT,MCLAREN HONDA,43
5,Alain Prost,FRA,FERRARI,34
6,Nelson Piquet,BRA,BENETTON FORD,26.5
7,Jean Alesi,FRA,FERRARI,21
8,Stefano Modena,ITA,TYRRELL HONDA,10
9,Andrea de Cesaris,ITA,JORDAN FORD,9
10,Roberto Moreno,BRA,MINARDI FERRARI,8
11,Pierluigi Martini,ITA,MINARDI FERRARI,6
12,Jyrki Jarvilehto,FIN,DALLARA JUDD,4
12,Bertrand Gachot,FRA,JORDAN FORD,4
12,Michael Schumacher,GER,BENETTON FORD,4
15,Mika Hakkinen,FIN,LOTUS JUDD,2
15,Martin Brundle,GBR,BRABHAM YAMAHA,2
15,Satoru Nakajima,JPN,TYRRELL HONDA,2
18,Julian Bailey,GBR,LOTUS JUDD,1
18,Eric Bernard,FRA,LOLA FORD,1
18,Ivan Capelli,ITA,LEYTON HOUSE ILMOR,1
18,Aguri Suzuki,JPN,LOLA FORD,1
18,Emanuele Pirro,ITA,DALLARA JUDD,1
18,Mark Blundell,GBR,BRABHAM YAMAHA,1
24,Gianni Morbidelli,ITA,FERRARI,0.5
