Position,Driver,Nationality,Constructor,Points
1,Graham Hill,GBR,LOTUS FORD,48
2,Jackie Stewart,GBR,MATRA FORD,36
3,Denny Hulme,NZL,MCLAREN FORD,33
4,Jacky Ickx,BEL,FERRARI,27
5,Bruce McLaren,NZL,MCLAREN FORD,22
6,Pedro Rodriguez,MEX,BRM,18
7,Jo Siffert,SUI,LOTUS FORD,12
7,John Surtees,GBR,HONDA,12
9,Jean-Pierre Beltoise,FRA,MATRA,11
10,Chris Amon,NZL,FERRARI,10
11,Jim Clark,GBR,LOTUS FORD,9
12,Jochen Rindt,AUT,BRABHAM REPCO,8
13,Richard Attwood,GBR,BRM,6
13,Johnny Servoz-Gavin,FRA,MATRA FORD,6
13,Jackie Oliver,GBR,LOTUS FORD,6
13,Ludovico Scarfiotti,ITA,COOPER BRM,6
17,Lucien Bianchi,BEL,COOPER BRM,5
17,Vic Elford,GBR,COOPER BRM,5
19,Brian Redman,GBR,COOPER BRM,4
19,Piers Courage,GBR,BRM,4
21,Dan Gurney,USA,MCLAREN FORD,3
21,Jo Bonnier,SWE,HONDA,3
23,Silvio Moser,SUI,BRABHAM REPCO,2
