Position,Driver,Nationality,Constructor,Points
1,Fernando Alonso,ESP,RENAULT,133
2,Kimi Räikkönen,FIN,MCLAREN MERCEDES,112
3,Michael Schumacher,GER,FERRARI,62
4,Juan Pablo Montoya,COL,MCLAREN MERCEDES,60
5,Giancarlo Fisichella,ITA,RENAULT,58
6,Ralf Schumacher,GER,TOYOTA,45
7,Jarno Trulli,ITA,TOYOTA,43
8,Rubens Barrichello,BRA,FERRARI,38
9,Jenson Button,GBR,BAR HONDA,37
10,Mark Webber,AUS,WILLIAMS BMW,36
11,Nick Heidfeld,GER,WILLIAMS BMW,28
12,David Coulthard,GBR,RBR COSWORTH,24
13,Felipe Massa,BRA,SAUBER PETRONAS,11
14,Jacques Villeneuve,CAN,SAUBER PETRONAS,9
15,Christian Klien,AUT,RBR COSWORTH,9
16,Tiago Monteiro,POR,JORDAN TOYOTA,7
17,Alexander Wurz,AUT,MCLAREN MERCEDES,6
18,Narain Karthikeyan,IND,JORDAN TOYOTA,5
19,Christijan Albers,NED,MINARDI COSWORTH,4
20,Pedro de la Rosa,ESP,MCLAREN MERCEDES,4
21,Patrick Friesacher,AUT,MINARDI COSWORTH,3
22,Antonio Pizzonia,BRA,WILLIAMS BMW,2
23,Takuma Sato,JPN,BAR HONDA,1
24,Vitantonio Liuzzi,ITA,RBR COSWORTH,1
25,Robert Doornbos,MON,MINARDI COSWORTH,0
