Position,Driver,Nationality,Constructor,Points
1,Lewis Hamilton,GBR,MERCEDES,381
2,Nico Rosberg,GER,MERCEDES,322
3,Sebastian Vettel,GER,FERRARI,278
4,Kimi Räikkönen,FIN,FERRARI,150
5,Valtteri Bottas,FIN,WILLIAMS MERCEDES,136
6,Felipe Massa,BRA,WILLIAMS MERCEDES,121
7,Daniil Kvyat,RUS,RED BULL RACING RENAULT,95
8,Daniel Ricciardo,AUS,RED BULL RACING RENAULT,92
9,Sergio Perez,MEX,FORCE INDIA MERCEDES,78
10,Nico Hulkenberg,GER,FORCE INDIA MERCEDES,58
11,Romain Grosjean,FRA,LOTUS MERCEDES,51
12,Max Verstappen,NED,STR RENAULT,49
13,Felipe Nasr,BRA,SAUBER FERRARI,27
14,Pastor Maldonado,VEN,LOTUS MERCEDES,27
15,Carlos Sainz,ESP,STR RENAULT,18
16,Jenson Button,GBR,MCLAREN HONDA,16
17,Fernando Alonso,ESP,MCLAREN HONDA,11
18,Marcus Ericsson,SWE,SAUBER FERRARI,9
19,Roberto Merhi,ESP,MARUSSIA FERRARI,0
20,Alexander Rossi,USA,MARUSSIA FERRARI,0
21,Will Stevens,GBR,MARUSSIA FERRARI,0
