Position,Driver,Nationality,Constructor,Points
1,Damon Hill,GBR,WILLIAMS RENAULT,97
2,Jacques Villeneuve,CAN,WILLIAMS RENAULT,78
3,Michael Schumacher,GER,FERRARI,59
4,Jean Alesi,FRA,BENETTON RENAULT,47
5,Mika Hakkinen,FIN,MCLAREN MERCEDES,31
6,Gerhard Berger,AUT,BENETTON RENAULT,21
7,David Coulthard,GBR,MCLAREN MERCEDES,18
8,Rubens Barrichello,BRA,JORDAN PEUGEOT,14
9,Olivier Panis,FRA,LIGIER MUGEN HONDA,13
10,Eddie Irvine,GBR,FERRARI,11
11,Martin Brundle,GBR,JORDAN PEUGEOT,8
12,Heinz-Harald Frentzen,GER,SAUBER FORD,7
13,Mika Salo,FIN,TYRRELL YAMAHA,5
14,Johnny Herbert,GBR,SAUBER FORD,4
15,Pedro Diniz,BRA,LIGIER MUGEN HONDA,2
16,Jos Verstappen,NED,FOOTWORK HART,1
