Position,Driver,Nationality,Constructor,Points
1,James Hunt,GBR,MCLAREN FORD,69
2,Niki Lauda,AUT,FERRARI,68
3,Jody Scheckter,RSA,TYRRELL FORD,49
4,Patrick Depailler,FRA,TYRRELL FORD,39
5,Clay Regazzoni,SUI,FERRARI,31
6,Mario Andretti,USA,LOTUS FORD,22
7,John Watson,GBR,PENSKE FORD,20
7,Jacques Laffite,FRA,LIGIER MATRA,20
9,Jochen Mass,GER,MCLAREN FORD,19
10,Gunnar Nilsson,SWE,LOTUS FORD,11
11,Ronnie Peterson,SWE,MARCH FORD,10
11,Tom Pryce,GBR,SHADOW FORD,10
13,Hans-Joachim Stuck,GER,MARCH FORD,8
14,Carlos Pace,BRA,BRABHAM ALFA ROMEO,7
14,Alan Jones,AUS,SURTEES FORD,7
16,Carlos Reutemann,ARG,FERRARI,3
16,Emerson Fittipaldi,BRA,FITTIPALDI FORD,3
18,Chris Amon,NZL,WOLF-WILLIAMS,2
19,Rolf Stommelen,GER,BRABHAM ALFA ROMEO,1
19,Vittorio Brambilla,ITA,MARCH FORD,1
