Position,Driver,Nationality,Constructor,Points
1,Nino  Farina,ITA,ALFA ROMEO,30
2,Juan Manuel  Fangio,ARG,ALFA ROMEO,27
3,Luigi  Fagioli,ITA,ALFA ROMEO,24
4,Louis  Rosier,FRA,TALBOT-LAGO,13
5,Alberto  Ascari,ITA,FERRARI,11
6,Johnnie  Parsons,USA,KURTIS KRAFT OFFENHAUSER,9
7,Bill  Holland,USA,DEIDT OFFENHAUSER,6
8,Prince  Bira,THA,MASERATI,5
9,Reg  Parnell,GBR,MASERATI,4
9,Louis  Chiron,MON,MASERATI,4
9,Mauri  Rose,USA,DEIDT OFFENHAUSER,4
9,Peter  Whitehead,GBR,FERRARI,4
13,Yves Giraud  Cabantous,FRA,TALBOT-LAGO,3
13,Raymond  Sommer,FRA,TALBOT-LAGO,3
13,Cecil  Green,USA,KURTIS KRAFT OFFENHAUSER,3
13,Robert  Manzon,FRA,SIMCA-GORDINI,3
13,Dorino  Serafini,ITA,NULL,3
13,Philippe  Etancelin,FRA,NULL,3
19,Felice  Bonetto,ITA,MASERATI MILANO,2
20,Tony  Bettenhausen,USA,DEIDT OFFENHAUSER,1
20,Joie  Chitwood,USA,KURTIS KRAFT OFFENHAUSER,1
20,Eugene  Chaboud,FRA,NULL,1
