Position,Driver,Nationality,Constructor,Points
1,Lewis Hamilton,GBR,MERCEDES,408
2,Sebastian Vettel,GER,FERRARI,320
3,Kimi Räikkönen,FIN,FERRARI,251
4,Max Verstappen,NED,RED BULL RACING TAG HEUER,249
5,Valtteri Bottas,FIN,MERCEDES,247
6,Daniel Ricciardo,AUS,RED BULL RACING TAG HEUER,170
7,Nico Hulkenberg,GER,RENAULT,69
8,Sergio Perez,MEX,FORCE INDIA MERCEDES,62
9,Kevin Magnussen,DEN,HAAS FERRARI,56
10,Carlos Sainz,ESP,RENAULT,53
11,Fernando Alonso,ESP,MCLAREN RENAULT,50
12,Esteban Ocon,FRA,FORCE INDIA MERCEDES,49
13,Charles Leclerc,MON,SAUBER FERRARI,39
14,Romain Grosjean,FRA,HAAS FERRARI,37
15,Pierre Gasly,FRA,SCUDERIA TORO ROSSO HONDA,29
16,Stoffel Vandoorne,BEL,MCLAREN RENAULT,12
17,Marcus Ericsson,SWE,SAUBER FERRARI,9
18,Lance Stroll,CAN,WILLIAMS MERCEDES,6
19,Brendon Hartley,NZL,SCUDERIA TORO ROSSO HONDA,4
20,Sergey Sirotkin,RUS,WILLIAMS MERCEDES,1
