Position,Driver,Nationality,Constructor,Points
1,Michael Schumacher,GER,BENETTON FORD,92
2,Damon Hill,GBR,WILLIAMS RENAULT,91
3,Gerhard Berger,AUT,FERRARI,41
4,Mika Hakkinen,FIN,MCLAREN PEUGEOT,26
5,Jean Alesi,FRA,FERRARI,24
6,Rubens Barrichello,BRA,JORDAN HART,19
7,Martin Brundle,GBR,MCLAREN PEUGEOT,16
8,David Coulthard,GBR,WILLIAMS RENAULT,14
9,Nigel Mansell,GBR,WILLIAMS RENAULT,13
10,Jos Verstappen,NED,BENETTON FORD,10
11,Olivier Panis,FRA,LIGIER RENAULT,9
12,Mark Blundell,GBR,TYRRELL YAMAHA,8
13,Heinz-Harald Frentzen,GER,SAUBER MERCEDES,7
14,Nicola Larini,ITA,FERRARI,6
15,Christian Fittipaldi,BRA,FOOTWORK FORD,6
16,Eddie Irvine,GBR,JORDAN HART,6
17,Ukyo Katayama,JPN,TYRRELL YAMAHA,5
18,Eric Bernard,FRA,LOTUS MUGEN HONDA,4
19,Karl Wendlinger,AUT,SAUBER MERCEDES,4
20,Andrea de Cesaris,ITA,SAUBER MERCEDES,4
21,Pierluigi Martini,ITA,MINARDI FORD,4
22,Gianni Morbidelli,ITA,FOOTWORK FORD,3
23,Erik Comas,FRA,LARROUSSE FORD,2
24,Michele Alboreto,ITA,MINARDI FORD,1
25,Jyrki Jarvilehto,FIN,SAUBER MERCEDES,1
