Position,Driver,Nationality,Constructor,Points
1,Michael Schumacher,GER,FERRARI,93
2,Kimi Räikkönen,FIN,MCLAREN MERCEDES,91
3,Juan Pablo Montoya,COL,WILLIAMS BMW,82
4,Rubens Barrichello,BRA,FERRARI,65
5,Ralf Schumacher,GER,WILLIAMS BMW,58
6,Fernando Alonso,ESP,RENAULT,55
7,David Coulthard,GBR,MCLAREN MERCEDES,51
8,Jarno Trulli,ITA,RENAULT,33
9,Jenson Button,GBR,BAR HONDA,17
10,Mark Webber,AUS,JAGUAR COSWORTH,17
11,Heinz-Harald Frentzen,GER,SAUBER PETRONAS,13
12,Giancarlo Fisichella,ITA,JORDAN FORD,12
13,Cristiano da Matta,BRA,TOYOTA,10
14,Nick Heidfeld,GER,SAUBER PETRONAS,6
15,Olivier Panis,FRA,TOYOTA,6
16,Jacques Villeneuve,CAN,BAR HONDA,6
17,Marc Gene,ESP,WILLIAMS BMW,4
18,Takuma Sato,JPN,BAR HONDA,3
19,Ralph Firman,IRL,JORDAN FORD,1
20,Justin Wilson,GBR,JAGUAR COSWORTH,1
21,Antonio Pizzonia,BRA,JAGUAR COSWORTH,0
22,Jos Verstappen,NED,MINARDI COSWORTH,0
23,Nicolas Kiesa,DEN,MINARDI COSWORTH,0
24,Zsolt Baumgartner,HUN,JORDAN FORD,0
