Position,Driver,Nationality,Constructor,Points
1,Nigel Mansell,GBR,WILLIAMS RENAULT,108
2,Riccardo Patrese,ITA,WILLIAMS RENAULT,56
3,Michael Schumacher,GER,BENETTON FORD,53
4,Ayrton Senna,BRA,MCLAREN HONDA,50
5,Gerhard Berger,AUT,MCLAREN HONDA,49
6,Martin Brundle,GBR,BENETTON FORD,38
7,Jean Alesi,FRA,FERRARI,18
8,Mika Hakkinen,FIN,LOTUS FORD,11
9,Andrea de Cesaris,ITA,TYRRELL ILMOR,8
10,Michele Alboreto,ITA,FOOTWORK MUGEN HONDA,6
11,Erik Comas,FRA,LIGIER RENAULT,4
12,Karl Wendlinger,AUT,MARCH ILMOR,3
12,Ivan Capelli,ITA,FERRARI,3
14,Thierry Boutsen,BEL,LIGIER RENAULT,2
15,Pierluigi Martini,ITA,DALLARA FERRARI,2
16,Johnny Herbert,GBR,LOTUS FORD,2
17,Stefano Modena,ITA,JORDAN YAMAHA,1
18,Christian Fittipaldi,BRA,MINARDI LAMBORGHINI,1
19,Bertrand Gachot,FRA,VENTURI LAMBORGHINI,1
