Position,Driver,Nationality,Constructor,Points
1,Nelson Piquet,BRA,WILLIAMS HONDA,73
2,Nigel Mansell,GBR,WILLIAMS HONDA,61
3,Ayrton Senna,BRA,LOTUS HONDA,57
4,Alain Prost,FRA,MCLAREN TAG,46
5,Gerhard Berger,AUT,FERRARI,36
6,Stefan Johansson,SWE,MCLAREN TAG,30
7,Michele Alboreto,ITA,FERRARI,17
8,Thierry Boutsen,BEL,BENETTON FORD,16
9,Teo Fabi,ITA,BENETTON FORD,12
10,Eddie Cheever,USA,ARROWS MEGATRON,8
11,Jonathan Palmer,GBR,TYRRELL FORD,7
12,Satoru Nakajima,JPN,LOTUS HONDA,7
13,Riccardo Patrese,ITA,WILLIAMS HONDA,6
14,Andrea de Cesaris,ITA,BRABHAM BMW,4
15,Philippe Streiff,FRA,TYRRELL FORD,4
16,Derek Warwick,GBR,ARROWS MEGATRON,3
17,Philippe Alliot,FRA,LOLA FORD,3
18,Martin Brundle,GBR,ZAKSPEED,2
19,Rene Arnoux,FRA,LIGIER MEGATRON,1
20,Ivan Capelli,ITA,MARCH FORD,1
21,Roberto Moreno,BRA,AGS FORD,1
