Position,Driver,Nationality,Constructor,Points
1,Lewis Hamilton,GBR,MERCEDES,384
2,Nico Rosberg,GER,MERCEDES,317
3,Daniel Ricciardo,AUS,RED BULL RACING RENAULT,238
4,Valtteri Bottas,FIN,WILLIAMS MERCEDES,186
5,Sebastian Vettel,GER,RED BULL RACING RENAULT,167
6,Fernando Alonso,ESP,FERRARI,161
7,Felipe Massa,BRA,WILLIAMS MERCEDES,134
8,Jenson Button,GBR,MCLAREN MERCEDES,126
9,Nico Hulkenberg,GER,FORCE INDIA MERCEDES,96
10,Sergio Perez,MEX,FORCE INDIA MERCEDES,59
11,Kevin Magnussen,DEN,MCLAREN MERCEDES,55
12,Kimi Räikkönen,FIN,FERRARI,55
13,Jean-Eric Vergne,FRA,STR RENAULT,22
14,Romain Grosjean,FRA,LOTUS RENAULT,8
15,Daniil Kvyat,RUS,STR RENAULT,8
16,Pastor Maldonado,VEN,LOTUS RENAULT,2
17,Jules Bianchi,FRA,MARUSSIA FERRARI,2
18,Adrian Sutil,GER,SAUBER FERRARI,0
19,Marcus Ericsson,SWE,CATERHAM RENAULT,0
20,Esteban Gutierrez,MEX,SAUBER FERRARI,0
21,Max Chilton,GBR,MARUSSIA FERRARI,0
22,Kamui Kobayashi,JPN,CATERHAM RENAULT,0
23,Will Stevens,GBR,CATERHAM RENAULT,0
