Position,Driver,Nationality,Constructor,Points
1,Alain Prost,FRA,MCLAREN TAG,72
2,Nigel Mansell,GBR,WILLIAMS HONDA,70
3,Nelson Piquet,BRA,WILLIAMS HONDA,69
4,Ayrton Senna,BRA,LOTUS RENAULT,55
5,Stefan Johansson,SWE,FERRARI,23
6,Keke Rosberg,FIN,MCLAREN TAG,22
7,Gerhard Berger,AUT,BENETTON BMW,17
8,Jacques Laffite,FRA,LIGIER RENAULT,14
9,Michele Alboreto,ITA,FERRARI,14
10,Rene Arnoux,FRA,LIGIER RENAULT,14
11,Martin Brundle,GBR,TYRRELL RENAULT,8
12,Alan Jones,AUS,LOLA FORD,4
13,Johnny Dumfries,GBR,LOTUS RENAULT,3
14,Philippe Streiff,FRA,TYRRELL RENAULT,3
15,Teo Fabi,ITA,BENETTON BMW,2
16,Patrick Tambay,FRA,LOLA FORD,2
17,Riccardo Patrese,ITA,BRABHAM BMW,2
18,Philippe Alliot,FRA,LIGIER RENAULT,1
19,Christian Danner,GER,ARROWS BMW,1
