Position,Driver,Nationality,Constructor,Points
1,Fernando Alonso,ESP,RENAULT,134
2,Michael Schumacher,GER,FERRARI,121
3,Felipe Massa,BRA,FERRARI,80
4,Giancarlo Fisichella,ITA,RENAULT,72
5,Kimi Räikkönen,FIN,MCLAREN MERCEDES,65
6,Jenson Button,GBR,HONDA,56
7,Rubens Barrichello,BRA,HONDA,30
8,Juan Pablo Montoya,COL,MCLAREN MERCEDES,26
9,Nick Heidfeld,GER,SAUBER BMW,23
10,Ralf Schumacher,GER,TOYOTA,20
11,Pedro de la Rosa,ESP,MCLAREN MERCEDES,19
12,Jarno Trulli,ITA,TOYOTA,15
13,David Coulthard,GBR,RBR FERRARI,14
14,Mark Webber,AUS,WILLIAMS COSWORTH,7
15,Jacques Villeneuve,CAN,SAUBER BMW,7
16,Robert Kubica,POL,SAUBER BMW,6
17,Nico Rosberg,GER,WILLIAMS COSWORTH,4
18,Christian Klien,AUT,RBR FERRARI,2
19,Vitantonio Liuzzi,ITA,STR COSWORTH,1
20,Scott Speed,USA,STR COSWORTH,0
21,Tiago Monteiro,POR,MF1 TOYOTA,0
22,Christijan Albers,NED,MF1 TOYOTA,0
23,Takuma Sato,JPN,SUPER AGURI HONDA,0
24,Robert Doornbos,NED,RBR FERRARI,0
25,Yuji Ide,JPN,SUPER AGURI HONDA,0
26,Sakon Yamamoto,JPN,SUPER AGURI HONDA,0
27,Franck Montagny,FRA,SUPER AGURI HONDA,0
