Position,Driver,Nationality,Constructor,Points
1,Jody Scheckter,RSA,FERRARI,51
2,Gilles Villeneuve,CAN,FERRARI,47
3,Alan Jones,AUS,WILLIAMS FORD,40
4,Jacques Laffite,FRA,LIGIER FORD,36
5,Clay Regazzoni,SUI,WILLIAMS FORD,29
6,Patrick Depailler,FRA,LIGIER FORD,20
6,Carlos Reutemann,ARG,LOTUS FORD,20
8,Rene Arnoux,FRA,RENAULT,17
9,John Watson,GBR,MCLAREN FORD,15
10,Didier Pironi,FRA,TYRRELL FORD,14
10,Jean-Pierre Jarier,FRA,TYRRELL FORD,14
10,Mario Andretti,USA,LOTUS FORD,14
13,Jean-Pierre Jabouille,FRA,RENAULT,9
14,Niki Lauda,AUT,BRABHAM FORD,4
15,Nelson Piquet,BRA,BRABHAM FORD,3
15,Elio de Angelis,ITA,SHADOW FORD,3
15,Jacky Ickx,BEL,LIGIER FORD,3
15,Jochen Mass,GER,ARROWS FORD,3
19,Riccardo Patrese,ITA,ARROWS FORD,2
19,Hans-Joachim Stuck,GER,ATS FORD,2
21,Emerson Fittipaldi,BRA,FITTIPALDI FORD,1
