Position,Driver,Nationality,Constructor,Points
1,Juan Manuel Fangio,ARG,ALFA ROMEO,31
2,Alberto Ascari,ITA,FERRARI,25
3,Jose Froilan Gonzalez,ARG,FERRARI,24
4,Nino Farina,ITA,ALFA ROMEO,19
5,Luigi Villoresi,ITA,FERRARI,15
6,Piero Taruffi,ITA,FERRARI,10
7,Lee Wallard,USA,KURTIS KRAFT OFFENHAUSER,9
8,Felice Bonetto,ITA,ALFA ROMEO,7
9,Mike Nazaruk,USA,KURTIS KRAFT OFFENHAUSER,6
10,Reg Parnell,GBR,BRM,5
11,Luigi Fagioli,ITA,ALFA ROMEO,4
12,Consalvo Sanesi,ITA,ALFA ROMEO,3
12,Andy Linden,USA,SHERMAN OFFENHAUSER,3
12,Louis Rosier,FRA,NULL,3
15,Toulo de Graffenried,SUI,ALFA ROMEO,2
15,Manny Ayulo,USA,KURTIS KRAFT OFFENHAUSER,2
15,Bobby Ball,USA,SCHROEDER OFFENHAUSER,2
15,Jack McGrath,USA,KURTIS KRAFT OFFENHAUSER,2
15,Yves Giraud Cabantous,FRA,TALBOT-LAGO,2
